,Venue Latitude,Venue Longitude,Venue Rating,Venue Price,Venue Category_African Restaurant,Venue Category_Bakery,Venue Category_Bar,Venue Category_Breakfast Spot,Venue Category_Burger Joint,Venue Category_Café,Venue Category_Cocktail Bar,Venue Category_Coffee Shop,Venue Category_Cupcake Shop,Venue Category_Diner,Venue Category_Eastern European Restaurant,Venue Category_Falafel Restaurant,Venue Category_Fast Food Restaurant,Venue Category_French Restaurant,Venue Category_Frozen Yogurt Shop,Venue Category_Ice Cream Shop,Venue Category_Italian Restaurant,Venue Category_Juice Bar,Venue Category_Lounge,Venue Category_Mediterranean Restaurant,Venue Category_Mexican Restaurant,Venue Category_Middle Eastern Restaurant,Venue Category_Molecular Gastronomy Restaurant,Venue Category_Moroccan Restaurant,Venue Category_Pizza Place,Venue Category_Pub,Venue Category_Restaurant,Venue Category_Sandwich Place,Venue Category_Seafood Restaurant,Venue Category_Snack Place,Venue Category_Spanish Restaurant,Venue Category_Steakhouse,Venue Category_Tapas Restaurant,Venue Category_Tea Room,Venue Category_Wings Joint,City_Agadir,City_Casablanca,City_Fez,City_Kenitra,City_Marrakesh,City_Meknes,City_Mohammedia,City_Oujda,City_Rabat,City_Tangier,City_Temara,City_Tetouan
0,33.59572552174429,-7.617697382156994,5.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,33.60298343965961,-7.619430262065782,9.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,33.605133879947545,-7.620468949332167,8.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,33.59450965188391,-7.595632543969505,6.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,33.585859398015394,-7.6348064572799945,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,33.59782335889066,-7.615340563932578,8.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,33.57586237529839,-7.615469310674558,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,33.59521995445795,-7.611576341960397,9.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,33.586697,-7.638675,7.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,33.58678323476425,-7.633631511675168,7.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
